id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc
4900,Nyengo,,,,nyen1257,atla1278,sima1262,language,-17.2314,22.4787,AO,nye,,I,L,,,
4901,Giryama,Giryama,,,giry1241,atla1278,nort3232,language,-3.30638,39.6648,KE,nyf,,I,L,,,
4902,Nyindu,,,,nyin1248,atla1278,fuli1241,language,-3.03802,28.6434,CD,nyg,,I,L,,,
4903,Nyigina,,,,nyig1240,nyul1248,nyik1244,language,-17.9594,124.348,AU,nyh,,I,L,,,
4904,Nyimang,,,1,amas1236,nyim1244,nyim1244,language,12.0993,29.4332,SD,nyi,,I,L,,,
4905,Nyanga (Congo),,"Kinyanga, Nyanga",,nyan1304,atla1278,nyan1317,language,-1.29357,28.31546,CD,nyj,,I,L,,,
4906,Nyaneka,Nyaneka,,,nyan1305,atla1278,nyan1320,language,-15.9616,14.94,AO,nyk,,I,L,,,
4907,Nyeu,,,,nyeu1238,aust1305,kuys1235,language,14.8817,104.33,TH,nyl,,I,L,,,
4908,Nyamwezi,,,4,nyam1276,atla1278,nyam1286,language,-5.08559,32.94452,TZ,nym,,I,L,926000,,
4909,Nyankole,Runyankore,"Nkore-Kiga, Runyankore, Runyankore-Rukiga, Nkore, Kiga, Chiga, Nyankore, Ankole, Banyankole, Lunyankole, Rukiga",12,nyan1307,atla1278,nkor1241,language,-0.46364,30.548,RW TZ UG,nyn,,I,L,1643193,,
4910,Nyoro,,,1,nyor1246,atla1278,nyor1247,language,0.95294,31.3493,UG,nyo,,I,L,,,
4911,Nyang'i,,,,nyan1313,kuli1252,ngan1305,language,3.4997,33.73651,UG,nyp,,I,E,,,
4912,Nayinic,,,,nayi1242,indo1319,yazd1241,language,34.2212,53.521,IR,nyq,,I,L,,,
4913,Nyiha (Malawi),,,,nyih1239,atla1278,mboz1234,language,-9.5372,33.0995,MW TZ ZM,nyr,,I,L,,,
