id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc,code,direction,apostrophe,han,continua,scripts,omniglot,agglutinative,indo,locales,hostCountryLocales
1370,Puxian,莆仙话 ,"Pu-Xian,Puxian Min,Pu-Xian Min,Pu Xian,Pu Xian Chinese,Putian,Xinghua,Hinghwa",,puxi1243,sino1245,coas1318,language,25.37,118.68,CN,cpx,,I,L,2600000,cpx,"Lin Yuanpei (1936 – ), native of Putian County, Fujian Province, Chinese bridge expert of the Chinese Academy of Engineering",cpx,ltr,FALSE,TRUE,TRUE,[],../chinese/puxian.htm,FALSE,FALSE,"zh,zh-CN,zh-Hans,zh-Hant,zh-SG,zh-TW,zh-HK",
1380,Crimean Tatar,къырымтатар (кирилл),,2284,crim1257,turk1311,crim1259,language,45,34.08,BG MD RO UA UZ,crh,,I,L,,crh,Bekir Çoban-zade (1893 – 1937) was a Crimean Tatar poet and professor of Turkic languages,crh,,FALSE,FALSE,FALSE,"[{""lang"":""crh"",""script"":""Cyrl"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",crimeantatar.php,TRUE,FALSE,tr,
1398,Kashubian,kaszëbsczi,,666,kash1274,indo1319,lech1241,language,54.2996,18.6163,PL,csb,,I,L,,csb,"Jozef Cieminski (1867 – 1959), a Polish-born Roman Catholic priest",csb,,FALSE,FALSE,FALSE,"[{""lang"":""csb"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",kashubian.htm,FALSE,FALSE,,"pl,pl-PL"
1464,Welsh,Cymraeg,,13280,wels1247,indo1319,oldm1247,language,52,-4,GB,cym,cy,I,L,993600,cy,"Alun Lewis (1915 – 1944), a Welsh poet",cy,,TRUE,FALSE,FALSE,"[{""lang"":""cy"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",welsh.htm,FALSE,FALSE,cy,
1469,Min Zhong,闽中语 ,,,minz1235,sino1245,inla1267,language,26.0686,117.376,CN,czo,,I,L,683000,czo,"Zou Taofen (1895 – 1944), a native of Yongan, Fujian, Chinese journalist and publisher",czo,ltr,FALSE,TRUE,TRUE,[],,FALSE,FALSE,"zh,zh-CN,zh-Hans,zh-Hant,zh-SG,zh-TW,zh-HK",
1482,Danish,Dansk,,46381,dani1285,indo1319,sout3248,language,54.8655,9.36284,DE DK FO GL,dan,da,I,L,6000000,da,"Hans Peter Holst (1811 – 1893), a Danish poet",da,,FALSE,FALSE,FALSE,"[{""lang"":""da"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",danish.htm,FALSE,FALSE,"da,da-DK",
1540,German,Deutsch,,290801,stan1295,indo1319,glob1243,language,48.649,12.4676,AT BE CH CZ DE DK FR HU IT LI LU NL PL RO SI SK,deu,de,I,L,95000000,de,"Johann Wolfgang von Goethe (1749 – 1832) a German poet, playwright, novelist, scientist, statesman, theatre director, and critic",de,,FALSE,FALSE,FALSE,"[{""lang"":""de"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",german.htm,FALSE,FALSE,"de,de-AT,de-CH,de-DE",
1692,Lower Sorbian,Dolnoserbski,,3176,lowe1385,indo1319,sorb1249,language,51.6621,13.9407,DE,dsb,,I,L,,dsb,"Mato Kósyk (1853 – 1940), a Sorbian poet and minister",dsb,,FALSE,FALSE,FALSE,"[{""lang"":""dsb"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",sorbian.htm,FALSE,FALSE,,"de,de-AT,de-CH,de-DE"
1761,Dzongkha,Dzongkha (Roman),,322,dzon1239,sino1245,nucl1307,language,27.410786,89.581604,BT CN IN NP,dzo,dz,I,L,171080,dz,"Ugyen Wangchuck (1862 – 1926), the first Druk Gyalpo (King of Bhutan)",dz,,FALSE,FALSE,TRUE,"[{""lang"":""dz"",""script"":""Tibt"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",dzongkha.php,FALSE,FALSE,dz,
1800,Greek,Ελληνική,,69622,mode1248,indo1319,nucl1783,language,38.36,23.13,AL BG CY EG GR IT MK RO TR UA,ell,el,I,L,13400000,el,"Constantine P. Cavafy (1863 – 1933), a Greek poet, journalist and civil servant from Alexandria",el,,FALSE,FALSE,FALSE,"[{""lang"":""el"",""script"":""Grek"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",greek.htm,FALSE,FALSE,"el,el-GR",
