traditional,pronunciation,pronunciations,audio,definitions,pos
牛尾鋸,ngiu¹¹mi²⁴gi⁵⁵,四⃞ngiu¹¹mi²⁴gi⁵⁵ 海⃞ngiu⁵⁵mui⁵³gi¹¹ 大⃞ngiu¹¹³mui³³gi⁵³ 平⃞ngiu⁵⁵mui¹¹gi⁵³ 安⃞ngiu⁵³mui¹¹gi³¹ 南⃞ngiu¹¹mi²⁴gi⁵⁵,09651,單手拉的手鋸，形似牛尾。,名
牛屎鶺,ngiu¹¹sii³¹jid²,四⃞ngiu¹¹sii³¹jid² 海⃞ngiu⁵⁵shi²⁴zid⁵ 大⃞ngiu¹¹³shi³¹zid⁵⁴ 平⃞ngiu⁵⁵shi⁵³zid² 安⃞ngiu⁵³shi³¹zid²⁴ 南⃞ngiu¹¹sii³¹jid²,09653,動物名。體長約五至六寸。頭黑，前額白，背黑，腹白，翼尾均長。其鳴則天降雪，且性喜食雪。築巢於水濱石隙間，以昆蟲為食。,
牛形,ngiu¹¹hin¹¹,四⃞ngiu¹¹hin¹¹ 海⃞ngiu⁵⁵hin⁵⁵ 大⃞ngiu¹¹³hin¹¹³ 平⃞ngiu⁵⁵hin⁵⁵ 南⃞ngiu¹¹hin¹¹,09639,（貶）罵人不受拘束、不聽管教，像牛一樣。,形
牛欄,ngiu¹¹lan¹¹,四⃞ngiu¹¹lan¹¹ 海⃞ngiu⁵⁵lan⁵⁵ 大⃞ngiu¹¹³lan¹¹³ 平⃞ngiu⁵⁵lan⁵⁵ 南⃞ngiu¹¹lan¹¹,09640,養牛的柵欄。,名
牛欄肚鬥牛嫲,ngiu¹¹lan¹¹du³¹deu⁵⁵ngiu¹¹ma¹¹,四⃞ngiu¹¹lan¹¹du³¹deu⁵⁵ngiu¹¹ma¹¹ 海⃞ngiu⁵⁵lan⁵⁵du²⁴deu¹¹ngiu⁵⁵ma⁵⁵ 大⃞ngiu¹¹³lan¹¹³du³¹deu⁵³ngiu¹¹³ma¹¹³ 平⃞ngiu⁵⁵lan⁵⁵du⁵³deu⁵³ngiu⁵⁵ma⁵⁵ 南⃞ngiu¹¹lan¹¹du³¹deu⁵⁵ngiu¹¹ma¹¹,09659,牛欄裡面的牛隻互鬥。比喻勤於內鬥，不知防範外來的侵害。,諺
牛毋做，賊毋做，橫打直過,ngiu¹¹m¹¹zo⁵⁵，ced⁵m¹¹zo⁵⁵，vang¹¹da³¹ciid⁵go⁵⁵,四⃞ngiu¹¹m¹¹zo⁵⁵，ced⁵m¹¹zo⁵⁵，vang¹¹da³¹ciid⁵go⁵⁵ 海⃞ngiu⁵⁵m⁵⁵zo¹¹，ced²m⁵⁵zo¹¹，vang⁵⁵da²⁴chid²go¹¹ 大⃞ngiu¹¹³m¹¹³zo⁵³，ced⁵⁴m¹¹³zo⁵³，vang¹¹³da³¹chid⁵⁴go⁵³ 平⃞ngiu⁵⁵m⁵⁵zo⁵³，ced⁵m⁵⁵zo⁵³，vang⁵⁵da⁵³chid⁵go⁵³ 安⃞ngiu⁵³m⁵⁵zoo³¹，ced⁴³m⁵⁵zoo³¹，bbang⁵³da³¹chid⁴³goo³¹ 南⃞ngiu¹¹m¹¹zo⁵⁵，ced⁵m¹¹zo⁵⁵，vang¹¹da³¹ciid⁵go⁵⁵,09664,不做低賤的工作，也不會做傷天害理的事，可以光明正大的直來直往。,諺
牛牯,ngiu¹¹gu³¹,四⃞ngiu¹¹gu³¹ 海⃞ngiu⁵⁵gu²⁴ 大⃞ngiu¹¹³gu³¹ 平⃞ngiu⁵⁵gu⁵³ 安⃞ngiu⁵³gu³¹ 南⃞ngiu¹¹gu³¹,09638,動物名。公牛。|頑皮的小孩。,形|形
牛牸仔,ngiu¹¹cii⁵⁵e³¹,四⃞ngiu¹¹cii⁵⁵e³¹ 海⃞ngiu⁵⁵ci³³er⁵⁵ 平⃞ngiu⁵⁵ci²⁴er⁵³ 南⃞ngiu¹¹cii⁵⁵e³¹,09649,未生小牛的雌牛。,名
牛瘟,ngiu¹¹vun²⁴,四⃞ngiu¹¹vun²⁴ 海⃞ngiu⁵⁵vun⁵³ 大⃞ngiu¹¹³vun³³ 平⃞ngiu⁵⁵vun¹¹ 安⃞ngiu⁵³bbun¹¹ 南⃞ngiu¹¹vun²⁴,09646,牛的一種急性傳染病。病原為濾過性病毒。有高熱、口內黏膜發炎、腹瀉帶血等症狀，嚴重者會導致死亡。,
牛百葉,ngiu¹¹bag²iab⁵,四⃞ngiu¹¹bag²iab⁵ 海⃞ngiu⁵⁵bag⁵rhab² 大⃞ngiu¹¹³bag²¹rhab⁵⁴ 平⃞ngiu⁵⁵bag²rhiab⁵ 安⃞ngiu⁵³ba²⁴rhiab⁴³ 南⃞ngiu¹¹bag²iab⁵,09648,指牛肚。,名
牛相鬥,ngiu¹¹xiong²⁴deu⁵⁵,四⃞ngiu¹¹xiong²⁴deu⁵⁵ 海⃞ngiu⁵⁵siong⁵³deu¹¹ 大⃞ngiu¹¹³siong³³deu⁵³ 平⃞ngiu⁵⁵siong¹¹deu⁵³ 安⃞ngiu⁵³siong¹¹deu³¹ 南⃞ngiu¹¹xiong²⁴deu⁵⁵,09654,牛互相爭鬥，比喻各做各的。,形
牛眼,ngiu¹¹ngien³¹,四⃞ngiu¹¹ngien³¹ 海⃞ngiu⁵⁵ngan²⁴ 大⃞ngiu¹¹³ngien³¹ 平⃞ngiu⁵⁵ngan⁵³ 安⃞ngiu⁵³ngien³¹ 南⃞ngiu¹¹ngian³¹,09643,植物名。即龍眼。樹皮茶褐色或灰褐色，葉為偶數羽狀複葉。四月開花，雌雄同株。果實呈球形，黃褐色，外具不規則的淺紋。,
牛眼核,ngiu¹¹ngien³¹fud⁵,四⃞ngiu¹¹ngien³¹fud⁵ 海⃞ngiu⁵⁵ngan²⁴fud² 大⃞ngiu¹¹³ngien³¹fud⁵⁴ 平⃞ngiu⁵⁵ngan⁵³fud⁵ 安⃞ngiu⁵³ngien³¹fud⁴³ 南⃞ngiu¹¹ngian³¹fud⁵,09652,龍眼的果核。,名
牛眼核摒屎胐－－看各人个本等,ngiu¹¹ngien³¹fud⁵bin³¹sii⁵⁵vud²－－kon⁵⁵gog²ngin¹¹ge⁵⁵bun³¹den³¹,四⃞ngiu¹¹ngien³¹fud⁵bin³¹sii⁵⁵vud²－－kon⁵⁵gog²ngin¹¹ge⁵⁵bun³¹den³¹ 海⃞ngiu⁵⁵ngan²⁴fud²bin²⁴shi³³vud⁵－－kon¹¹gog⁵ngin⁵⁵gai¹¹bun²⁴den²⁴ 大⃞ngiu¹¹³ngien³¹fud⁵⁴bin³¹shi⁵³vud²¹－－kon⁵³gog²¹ngin¹¹³gai³³bun³¹den³¹ 南⃞ngiu¹¹ngian³¹fud⁵bin³¹sii⁵⁵fud²－－kon⁵⁵gog²ngin¹¹ge⁵⁵bun³¹den³¹,09665,用龍眼核擦屁股。比喻靠各人的本事，看個人的技巧或手腕。,諺
牛筋愛在背囊抽,ngiu¹¹gin²⁴oi⁵⁵du⁵⁵boi⁵⁵nong¹¹cu²⁴,四⃞ngiu¹¹gin²⁴oi⁵⁵du⁵⁵boi⁵⁵nong¹¹cu²⁴ 海⃞ngiu⁵⁵gin⁵³oi¹¹du¹¹boi¹¹nong⁵⁵chiu⁵³ 平⃞ngiu⁵⁵gin¹¹oi⁵³du¹¹boi⁵³nong⁵⁵chiu¹¹ 南⃞ngiu¹¹gin²⁴oi⁵⁵te²⁴boi⁵⁵nong¹¹cu²⁴,09660,牛筋要在牛背上抽，比喻做事情要抓對重點。,諺
牛筋牛背抽,ngiu¹¹gin²⁴ngiu¹¹boi⁵⁵cu²⁴,四⃞ngiu¹¹gin²⁴ngiu¹¹boi⁵⁵cu²⁴ 海⃞ngiu⁵⁵gin⁵³ngiu⁵⁵boi¹¹chiu⁵³ 大⃞ngiu¹¹³gin³³ngiu¹¹³boi⁵³chiu³³ 平⃞ngiu⁵⁵gin¹¹ngiu⁵⁵boi⁵³chiu¹¹ 安⃞ngiu⁵³gun¹¹ngiu⁵³bue³¹chiu¹¹ 南⃞ngiu¹¹gin²⁴ngiu¹¹boi⁵⁵cu²⁴,09658,比喻所獲的利益，實際上來自本身。,諺
牛肝石,ngiu¹¹gon²⁴sag⁵,四⃞ngiu¹¹gon²⁴sag⁵ 海⃞ngiu⁵⁵gon⁵³shag² 大⃞ngiu¹¹³gon³³shag⁵⁴ 平⃞ngiu⁵⁵gon¹¹shag⁵ 安⃞ngiu⁵³gon¹¹sha⁵⁵ 南⃞ngiu¹¹gon²⁴sag⁵,09650,形似牛肝，黑而堅硬的石頭。所謂「牛肝」，其實是由地下水中的碳酸鈣沉澱而形成的鐘乳石，可用於生產水泥。,
牛腸馬肚,ngiu¹¹cong¹¹ma²⁴du³¹,四⃞ngiu¹¹cong¹¹ma²⁴du³¹ 海⃞ngiu⁵⁵chong⁵⁵ma⁵³du²⁴ 大⃞ngiu¹¹³chong¹¹³ma³³du³¹ 平⃞ngiu⁵⁵chong⁵⁵ma¹¹du⁵³ 安⃞ngiu⁵³chong⁵³ma¹¹du³¹ 南⃞ngiu¹¹cong¹¹ma²⁴du³¹,09655,形容人很會吃、吃得很多。,形
牛膣馬面,ngiu¹¹zii²⁴ma²⁴mien⁵⁵,四⃞ngiu¹¹zii²⁴ma²⁴mien⁵⁵ 海⃞ngiu⁵⁵zhi⁵³ma⁵³mien¹¹ 大⃞ngiu¹¹³zhi³³ma³³mien⁵³ 平⃞ngiu⁵⁵zhi¹¹ma¹¹mien⁵³ 安⃞ngiu⁵³zhi¹¹ma¹¹mien³¹ 南⃞ngiu¹¹zii²⁴ma²⁴mien⁵⁵,09657,（粗俗語）喻兇惡不堪或冥頑不靈。,形
牛角毋尖毋過村,ngiu¹¹gog²m¹¹jiam²⁴m¹¹go⁵⁵cun²⁴,四⃞ngiu¹¹gog²m¹¹jiam²⁴m¹¹go⁵⁵cun²⁴ 海⃞ngiu⁵⁵gog⁵m⁵⁵ziam⁵³m⁵⁵go¹¹cun⁵³ 大⃞ngiu¹¹³gog²¹m¹¹³ziam³³m¹¹³go⁵³cun³³ 平⃞ngiu⁵⁵gog²m⁵⁵ziam¹¹m⁵⁵go⁵³cun¹¹ 南⃞ngiu¹¹gog²m¹¹jiam²⁴m¹¹go⁵⁵cun²⁴,09661,牛角不尖就不外出，比喻人沒有真本事，不敢外出與他人一較高下。,諺
牛蹄,ngiu¹¹tai¹¹,四⃞ngiu¹¹tai¹¹ 海⃞ngiu⁵⁵tai⁵⁵ 大⃞ngiu¹¹³te¹¹³ 平⃞ngiu⁵⁵te⁵⁵ 安⃞ngiu⁵³te⁵³ 南⃞ngiu¹¹tai¹¹,09644,牛的腳。,名
牛軛,ngiu¹¹ag²,四⃞ngiu¹¹ag² 海⃞ngiu⁵⁵ag⁵ 大⃞ngiu¹¹³ag²¹ 平⃞ngiu⁵⁵ag² 安⃞ngiu⁵³ann²⁴ 南⃞ngiu¹¹ag²,09637,掛在牛脖子上的弓形物，便於駕御牛隻工作。,名
牛面,ngiu¹¹mien⁵⁵,四⃞ngiu¹¹mien⁵⁵ 海⃞ngiu⁵⁵mien¹¹ 大⃞ngiu¹¹³mien⁵³ 平⃞ngiu⁵⁵mien⁵³ 安⃞ngiu⁵³mien³¹ 南⃞ngiu¹¹mien⁵⁵,09642,（貶）罵人頑皮不聽話。,形
牛頭馬面,ngiu¹¹teu¹¹ma²⁴mien⁵⁵,四⃞ngiu¹¹teu¹¹ma²⁴mien⁵⁵ 海⃞ngiu⁵⁵teu⁵⁵ma⁵³mien¹¹ 大⃞ngiu¹¹³teu¹¹³ma³³mien⁵³ 平⃞ngiu⁵⁵teu⁵⁵ma¹¹mien⁵³ 安⃞ngiu⁵³teu⁵³ma¹¹mien³¹ 南⃞ngiu¹¹teu¹¹ma²⁴mien⁵⁵,09656,指閻王身邊的差役。|（貶）罵人不像樣。,"名,形|名,形"
牛黃,ngiu¹¹vong¹¹,四⃞ngiu¹¹vong¹¹ 海⃞ngiu⁵⁵vong⁵⁵ 大⃞ngiu¹¹³vong¹¹³ 平⃞ngiu⁵⁵vong⁵⁵ 安⃞ngiu⁵³bbong⁵³ 南⃞ngiu¹¹vong¹¹,09645,中藥名。從牛膽中煉取出來，具有解熱、解毒、強心的功效，可治驚癇及小兒諸病。,
牡,meu³¹,四⃞meu³¹ 海⃞meu²⁴ 大⃞miau³¹ 平⃞meu⁵³ 安⃞hm¹¹ 南⃞meu⁵⁵,08403,見「牡丹花」。,
牡丹花,meu³¹dan²⁴fa²⁴,四⃞meu³¹dan²⁴fa²⁴ 海⃞meu²⁴dan⁵³fa⁵³ 大⃞miau³¹dan³³fa³³ 平⃞meu⁵³dan¹¹fa¹¹ 安⃞hm¹¹dan¹¹fa¹¹ 南⃞meu³¹dan²⁴fa²⁴,08404,牡丹所開的花。花瓣呈倒卵形，有單瓣、複瓣之分，有紅色及白色等。極為美麗。亦稱為「牡丹」,名
牢,lo¹¹,四⃞lo¹¹ 海⃞lo⁵⁵ 大⃞lo¹¹³ 平⃞lo⁵⁵ 安⃞loo⁵³ 南⃞lo¹¹,07855,用來飼養牲畜的欄圈。|監獄。|古代祭祀用的牲畜。,||
牧,mug⁵,四⃞mug⁵ 海⃞mug² 大⃞mug⁵⁴ 平⃞mug⁵ 安⃞hm⁵⁵ 南⃞mug⁵,08928,放養牲畜。|古代稱一州的長官為「牧」|管理。|基督教的傳教士。,|||
牧人,mug⁵ngin¹¹,四⃞mug⁵ngin¹¹ 海⃞mug²ngin⁵⁵ 大⃞mug⁵⁴ngin¹¹³ 平⃞mug⁵ngin⁵⁵ 安⃞hm⁵⁵ngin⁵³,08931,以放養牛羊等牲畜為生的人。,名
牧場,mug⁵cong¹¹,四⃞mug⁵cong¹¹ 海⃞mug²chong⁵⁵ 大⃞mug⁵⁴chong¹¹³ 平⃞mug⁵chong⁵⁵ 安⃞hm⁵⁵chong⁵³ 南⃞mug⁵cong¹¹,08930,專門養殖、放養牲畜的場所。,名
牧師,mug⁵sii²⁴,四⃞mug⁵sii²⁴ 海⃞mug²sii⁵³ 大⃞mug⁵⁴sii³³ 平⃞mug⁵sii¹¹ 安⃞hm⁵⁵su¹¹ 南⃞mug⁵sii²⁴,08932,基督教的傳教士。,名
牧草,mug⁵co³¹,四⃞mug⁵co³¹ 海⃞mug²co²⁴ 大⃞mug⁵⁴co³¹ 平⃞mug⁵co⁵³ 安⃞hm⁵⁵coo³¹ 南⃞mug⁵co³¹,08929,供牛羊等牲畜吃的草。,名
物,vud⁵,四⃞vud⁵ 海⃞vud² 大⃞vud⁵⁴ 平⃞vud⁵ 安⃞bbud⁴³ 南⃞vud⁵,13700,存在於天地間的一切東西。|指我以外的人、事、境界。|指作品或言談中的內容、實質。|尋求。,|||
物價,vud⁵ga⁵⁵,四⃞vud⁵ga⁵⁵ 海⃞vud²ga¹¹ 大⃞vud⁵⁴ga⁵³ 平⃞vud⁵ga⁵³ 安⃞bbud⁴³ga³¹ 南⃞vud⁵ga⁵⁵,13701,物品的價格。,名
物品,vud⁵pin³¹,四⃞vud⁵pin³¹ 海⃞vud²pin²⁴ 大⃞vud⁵⁴pin³¹ 平⃞vud⁵pin⁵³ 安⃞bbud⁴³pin³¹ 南⃞vud⁵pin³¹,13702,東西、貨物。,名
物產,vud⁵san³¹,四⃞vud⁵san³¹ 海⃞vud²san²⁴ 大⃞vud⁵⁴san³¹ 平⃞vud⁵san⁵³ 安⃞bbud⁴³san³¹ 南⃞vud⁵san³¹,13703,出產的物品。,名
物質,vud⁵ziid²,四⃞vud⁵ziid² 海⃞vud²zhid⁵ 大⃞vud⁵⁴zhid²¹ 平⃞vud⁵zhid² 安⃞bbud⁴³zhid²⁴ 南⃞vud⁵ziid²,13705,具有重量、在空間占有地位，並能憑感官得知其存在者，稱為「物質」。凡一切元素及其相互組成的化合物，都是物質，如鐵、水、氧等。,名
物體,vud⁵ti³¹,四⃞vud⁵ti³¹ 海⃞vud²ti²⁴ 大⃞vud⁵⁴ti³¹ 平⃞vud⁵ti⁵³ 安⃞bbud⁴³te³¹ 南⃞vud⁵ti³¹,13704,由物質構成且占有一定大小空間的個體。如釘子和剪刀同為鐵所構成的物體。,名
牯,gu³¹,四⃞gu³¹ 海⃞gu²⁴ 大⃞gu³¹ 平⃞gu⁵³ 安⃞gu³¹ 南⃞gu³¹,04626,原指割去生殖器的公牛，後泛指雄性的牲獸。,
牲,sen²⁴,四⃞sen²⁴ 海⃞sen⁵³ 大⃞sen³³ 平⃞sen¹¹ 安⃞sen¹¹ 南⃞sen²⁴,11367,祭祀用的牲畜。|泛指牛、豬、馬等一般家畜。,|
牲,sen²⁴,四⃞sen²⁴ 海⃞sang⁵³ 大⃞sang³³ 平⃞sang¹¹ 安⃞sen¹¹ 南⃞sen²⁴,11369,祭祀用的牲畜。|泛指牛、豬、馬等一般家畜。,|
牲儀,sen²⁴ngi¹¹,四⃞sen²⁴ngi¹¹ 海⃞sen⁵³ngi⁵⁵ 大⃞sen³³ngi¹¹³ 平⃞sen¹¹ngi⁵⁵ 安⃞sen¹¹ngi⁵³ 南⃞sen²⁴ngi¹¹,11368,指用來祭祀的牲口，如：牛、羊、豬等。,名
牴,di³¹,四⃞di³¹ 海⃞di²⁴ 大⃞di³¹ 平⃞di⁵³ 安⃞de³¹ 南⃞di³¹,02181,原指牛、羊等有角的獸類用角去碰撞東西。後借以引申為冒犯、衝突之意。,
牴觸,di³¹cug²,四⃞di³¹cug² 海⃞di²⁴chug⁵ 大⃞di³¹chug²¹ 平⃞di⁵³chug² 南⃞di³¹cug²,02182,相互衝突、矛盾。,動
特,tid⁵,四⃞tid⁵ 海⃞tid² 大⃞tid⁵⁴ 平⃞tid⁵ 安⃞ted⁴³ 南⃞tid⁵,12845,與眾不同的。,
特別,tid⁵pied⁵,四⃞tid⁵pied⁵ 海⃞tid²pied² 大⃞tid⁵⁴pied⁵⁴ 平⃞tid⁵pied⁵ 安⃞ted⁴³pied⁴³ 南⃞tid⁵pied⁵,12846,與眾不同。,形
特徵,tid⁵ziin²⁴,四⃞tid⁵ziin²⁴ 海⃞tid²zhin⁵³ 大⃞tid⁵⁴zhin³³ 平⃞tid⁵zhin¹¹ 安⃞ted⁴³zhin¹¹ 南⃞tid⁵ziin²⁴,12850,事物特殊的徵象。,名
特殊,tid⁵su²⁴,四⃞tid⁵su²⁴ 海⃞tid²shu⁵³ 大⃞tid⁵⁴shu¹¹³ 平⃞tid⁵shu¹¹ 南⃞tid⁵su²⁴,12849,不同於一般的。,形
特產,tid⁵san³¹,四⃞tid⁵san³¹ 海⃞tid²san²⁴ 大⃞tid⁵⁴san³¹ 平⃞tid⁵san⁵³ 安⃞ted⁴³san³¹ 南⃞tid⁵san³¹,12847,某地特有的產品。,名
特色,tid⁵sed²,四⃞tid⁵sed² 海⃞tid²sed⁵ 大⃞tid⁵⁴sed²¹ 平⃞tid⁵sed² 安⃞ted⁴³sed²⁴ 南⃞tid⁵sed²,12848,獨特優異的形象。,名
牽,kien²⁴,四⃞kien²⁴ 海⃞kien⁵³ 大⃞kien³³ 平⃞kien¹¹ 安⃞kien¹¹ 南⃞kian²⁴,06851,拉、挽、引領。|連帶、涉及。|睡得很沉。,||
牽成,kien²⁴siin¹¹,四⃞kien²⁴siin¹¹ 海⃞kien⁵³shin⁵⁵ 大⃞kien³³shin¹¹³ 平⃞kien¹¹shin⁵⁵ 安⃞kien¹¹shin⁵³ 南⃞kian²⁴siin¹¹,06860,選取人才，予以提升任用。,動
牽手,kien²⁴su³¹,四⃞kien²⁴su³¹ 海⃞kien⁵³shiu²⁴ 大⃞kien³³shiu³¹ 平⃞kien¹¹shiu⁵³ 安⃞kien¹¹shiu³¹ 南⃞kian²⁴su³¹,06862,手和手相牽。,動
牽手牽腳,kien²⁴su³¹kien²⁴giog²,四⃞kien²⁴su³¹kien²⁴giog² 海⃞kien⁵³shiu²⁴kien⁵³giog⁵ 大⃞kien³³shiu³¹kien³³giog²¹ 平⃞kien¹¹shiu⁵³kien¹¹giog² 安⃞kien¹¹shiu³¹kien¹¹gio²⁴ 南⃞kian²⁴su³¹kian²⁴giog²,06869,形容非常高興、喜悅的樣子。,形
牽掛,kien²⁴gua⁵⁵,四⃞kien²⁴gua⁵⁵ 海⃞kien⁵³gua¹¹ 大⃞kien³³gua⁵³ 平⃞kien¹¹gua⁵³ 南⃞kian²⁴gua⁵⁵,06856,記掛想念。,動
牽本,kien²⁴bun³¹,四⃞kien²⁴bun³¹ 海⃞kien⁵³bun²⁴ 大⃞kien³³bun³¹ 平⃞kien¹¹bun⁵³ 南⃞kian²⁴bun³¹,06852,原指在賭博時贏回原先損失的資本，後泛稱人貪圖小便宜或想獲得某種補償。,動
牽涉,kien²⁴sab⁵,四⃞kien²⁴sab⁵ 海⃞kien⁵³shab² 大⃞kien³³shab⁵⁴ 平⃞kien¹¹shab⁵ 安⃞kien¹¹shiab⁴³ 南⃞kian²⁴sab⁵,06859,牽扯關聯。,動
牽牛,kien²⁴ngiu¹¹,四⃞kien²⁴ngiu¹¹ 海⃞kien⁵³ngiu⁵⁵ 大⃞kien³³ngiu¹¹³ 平⃞kien¹¹ngiu⁵⁵ 安⃞kien¹¹ngiu⁵³ 南⃞kian²⁴ngiu¹¹,06858,牽牛。,動
牽牛花,kien²⁴ngiu¹¹fa²⁴,四⃞kien²⁴ngiu¹¹fa²⁴ 海⃞kien⁵³ngiu⁵⁵fa⁵³ 大⃞kien³³ngiu¹¹³fa³³ 平⃞kien¹¹ngiu⁵⁵fa¹¹ 安⃞kien¹¹ngiu⁵³fa¹¹ 南⃞kian²⁴ngiu¹¹fa²⁴,06867,植物名。花冠成漏斗形，連花梗看起來像一支喇叭，故亦稱為「喇叭花」，我國各地野生者多。,
牽猴仔,kien²⁴heu¹¹e³¹,四⃞kien²⁴heu¹¹e³¹ 海⃞kien⁵³heu⁵⁵er⁵⁵ 平⃞kien¹¹heu⁵⁵er⁵³ 南⃞kian²⁴heu¹¹e³¹,06866,拉攏男女雙方做不正當媾合的行為。,動
牽等,kien²⁴den³¹,四⃞kien²⁴den³¹ 海⃞kien⁵³den²⁴ 平⃞kien¹¹den⁵³ 南⃞kian²⁴den³¹,06853,拉著或挽著。,副
牽絲,kien²⁴xi²⁴,四⃞kien²⁴xi²⁴ 海⃞kien⁵³si⁵³ 大⃞kien³³si³³ 平⃞kien¹¹si¹¹ 安⃞kien¹¹si¹¹ 南⃞kian²⁴xi²⁴,06863,拔絲。一種把糖加熱製成食品的方法。糖液濃稠，拉而見絲，故稱為「拔絲」|發霉長菌絲。,動|動
牽線,kien²⁴xien⁵⁵,四⃞kien²⁴xien⁵⁵ 海⃞kien⁵³sien¹¹ 大⃞kien³³sien⁵³ 平⃞kien¹¹sien⁵³ 安⃞kien¹¹sien³¹ 南⃞kian²⁴xien⁵⁵,06864,牽拉著線。|比喻居中介紹、撮合。,動|動
牽聲,kien²⁴sang²⁴,四⃞kien²⁴sang²⁴ 海⃞kien⁵³shang⁵³ 大⃞kien³³shang³³ 平⃞kien¹¹shang¹¹ 安⃞kien¹¹shang¹¹ 南⃞kian²⁴sang²⁴,06861,朗誦時特意拉長語尾聲調。,動
牽腸掛肚,kien²⁴cong¹¹gua⁵⁵du³¹,四⃞kien²⁴cong¹¹gua⁵⁵du³¹ 海⃞kien⁵³chong⁵⁵gua¹¹du²⁴ 大⃞kien³³chong¹¹³gua⁵³du³¹ 平⃞kien¹¹chong⁵⁵gua⁵³du⁵³ 安⃞kien¹¹chong⁵³gua³¹du³¹ 南⃞kian²⁴cong¹¹gua⁵⁵du³¹,06870,比喻十分操心、掛念。,動
牽著,kien²⁴do³¹,四⃞kien²⁴do³¹ 海⃞kien⁵³do²⁴ 大⃞kien³³do³¹ 平⃞kien¹¹do⁵³ 安⃞kien¹¹choo⁵⁵ 南⃞kian²⁴do³¹,06854,拉到、牽到。,動
牽覺,kien²⁴gau⁵⁵,四⃞kien²⁴gau⁵⁵ 海⃞kien⁵³gau¹¹ 平⃞kien¹¹gau⁵³ 南⃞kian²⁴gau⁵⁵,06855,深沉的入睡，甚至是打鼾。,動
牽豬哥,kien²⁴zu²⁴go²⁴,四⃞kien²⁴zu²⁴go²⁴ 海⃞kien⁵³zhu⁵³go⁵³ 大⃞kien³³zhu³³go³³ 平⃞kien¹¹zhu¹¹go¹¹ 安⃞kien¹¹zhi¹¹goo¹¹ 南⃞kian²⁴zu²⁴go²⁴,06868,趕著種豬到處去和別人的母豬交配的一種行業。,名
牽車仔,kien²⁴ca²⁴e³¹,四⃞kien²⁴ca²⁴e³¹ 海⃞kien⁵³cha⁵³er⁵⁵ 平⃞kien¹¹cha¹¹er⁵³ 南⃞kian²⁴ca²⁴e³¹,06865,牽回車子。,動
牽連,kien²⁴lien¹¹,四⃞kien²⁴lien¹¹ 海⃞kien⁵³lien⁵⁵ 大⃞kien³³lien¹¹³ 平⃞kien¹¹lien⁵⁵ 安⃞kien¹¹lien⁵³ 南⃞kian²⁴lien¹¹,06857,牽涉關聯，互相連帶。,動
犀,xi²⁴,四⃞xi²⁴ 海⃞si⁵³ 大⃞si³³ 平⃞si¹¹ 安⃞se¹¹ 南⃞xi²⁴,13777,動物名。脊椎動物門哺乳綱奇蹄目。體型碩大，外形似牛，皮粗而厚。頭部鼻的上方生有一或二個角，為攻擊敵人的武器。以草、樹葉、嫩枝為食。產於亞洲與非洲的熱帶森林。|銳利、堅固。,|
犀角,xi²⁴gog²,四⃞xi²⁴gog² 海⃞si⁵³gog⁵ 大⃞si³³gog²¹ 平⃞si¹¹gog² 南⃞xi²⁴gog²,13778,犀牛的角。由角質纖維所組成，堅硬細緻。能用以雕製圖章或飾品，亦可入藥，具有強心、解熱、去毒、止血的功效。,名
犁,lai¹¹,四⃞lai¹¹ 海⃞lai⁵⁵ 大⃞le¹¹³ 平⃞le⁵⁵ 安⃞le⁵³ 南⃞lai¹¹,07339,翻土用的農具。|以農具耕田。|低垂。,||
犁田,lai¹¹tien¹¹,四⃞lai¹¹tien¹¹ 海⃞lai⁵⁵tien⁵⁵ 大⃞le¹¹³tien¹¹³ 平⃞le⁵⁵tien⁵⁵ 安⃞le⁵³teen⁵³ 南⃞lai¹¹tien¹¹,07342,用犁或耕耘機等農具將土翻鬆。,動
犁耙,lai¹¹pa¹¹,四⃞lai¹¹pa¹¹ 海⃞lai⁵⁵pa⁵⁵ 大⃞le¹¹³pa¹¹³ 平⃞le⁵⁵pa⁵⁵ 安⃞le⁵³pa⁵³ 南⃞lai¹¹pa¹¹,07340,犁與耙，兩種農具。犁，耕田翻土用的農具。耙，一條橫木上附鐵製或木製的平排尖齒，另一端加上長柄。使用者持長柄使地面土塊平整，也能讓地上物聚攏或散開。,
犁耙碌碡,lai¹¹pa¹¹lug⁵cug⁵,四⃞lai¹¹pa¹¹lug⁵cug⁵ 海⃞lai⁵⁵pa⁵⁵lug²chug² 大⃞le¹¹³pa¹¹³lug⁵⁴chug⁵⁴ 平⃞le⁵⁵pa⁵⁵lug⁵cug⁵ 安⃞le⁵³pa⁵³la⁵⁵dag⁴³ 南⃞lai¹¹pa¹¹lug⁵cug⁵,07343,農具名。犁、耙與碌碡，共三種農具。犁，耕田翻土用的農具。耙，一條橫木上附鐵製或木製的平排尖齒，另一端加上長柄。使用者持長柄使地面土塊平整，也能讓地上物聚攏或散開。碌碡，用石頭做成的圓形滾筒農具，外施以木框，用以碾平場地或碾壓穀類。,
