traditional,pronunciation,pronunciations,audio,definitions,pos
呵呵咄咄,ho²⁴ho²⁴dod²dod²,四⃞ho²⁴ho²⁴dod²dod² 海⃞ho⁵³ho⁵³dod⁵dod⁵ 大⃞hod²¹hod²¹dod²¹dod²¹ 平⃞ho¹¹ho¹¹dod²dod² 南⃞ho²⁴ho²⁴dod²dod²,05447,形容大聲怒斥的凶惡貌。,形
呷,gab⁵,四⃞gab⁵ 海⃞gab² 大⃞gab⁵⁴ 平⃞gab⁵ 安⃞gab⁴³ 南⃞gab⁵,15370,張口急咬。,
呻,cen²⁴,四⃞cen²⁴ 海⃞cen⁵³ 大⃞cen³³ 平⃞cen¹¹ 南⃞cen²⁴,01051,身心痛苦時由嘴裡發出的聲音。,
呻,siin²⁴,四⃞siin²⁴ 海⃞shin⁵³ 大⃞shin³³ 平⃞cen¹¹ 安⃞cen¹¹ 南⃞siin²⁴,11791,身心痛苦時由嘴裡發出的聲音。,
呼,fu²⁴,四⃞fu²⁴ 海⃞fu⁵³ 大⃞fu¹¹³ 平⃞fu¹¹ 安⃞fu¹¹ 南⃞fu²⁴,03079,吶喊、叫。,
呼應,fu²⁴in⁵⁵,四⃞fu²⁴in⁵⁵ 海⃞fu⁵³rhin¹¹ 大⃞fu¹¹³rhin⁵³ 平⃞fu¹¹rhin⁵³ 安⃞fu¹¹en³¹ 南⃞fu²⁴in⁵⁵,03080,一呼一應，相互聯繫、照應。|文章首尾互相對應。,動|動
命,miang⁵⁵,四⃞miang⁵⁵ 海⃞miang³³白 大⃞miang⁵³ 平⃞miang²⁴ 安⃞miang⁵⁵ 南⃞miang⁵⁵,08515,生物生存的機能。|先天注定的運數，不是後天所能改變的。,|
命,min⁵⁵,四⃞min⁵⁵ 海⃞min³³文 大⃞min⁵³ 平⃞min²⁴ 安⃞min⁵⁵ 南⃞min⁵⁵,08617,差遣、下命令。|上級或尊長的指示。,|
命中,miang⁵⁵zung⁵⁵,四⃞miang⁵⁵zung⁵⁵ 海⃞miang³³zhung¹¹ 大⃞miang⁵³zhung⁵³ 平⃞miang²⁴zhung⁵³ 安⃞miang⁵⁵zhung³¹ 南⃞miang⁵⁵zung⁵⁵,08521,射中、擊中目標。,動
命令,min⁵⁵lin⁵⁵,四⃞min⁵⁵lin⁵⁵ 海⃞min³³lin³³ 大⃞min⁵³lin⁵³ 平⃞min²⁴lin²⁴ 安⃞min⁵⁵lin⁵⁵ 南⃞min⁵⁵lin⁵⁵,08618,上對下的指示。|下令、號令。,"名,動|名,動"
