#ESV	Root	Lat	Lon	Verses	Comment
Aphik	Aphek 1	34.066067	35.865801	Judg 1:31	
Apollonia		40.58763251343323	23.35335168557556	Acts 17:1	
Ar		31.44980942220132	35.59395836278803	Num 21:15, Num 21:28, Deut 2:9, Deut 2:18, Deut 2:29, Isa 15:1	
Arab		~31.450746	35.045648	Josh 15:52	
Arabah		32.029676	35.520995	Deut 1:1, Deut 1:7, Deut 2:8, Deut 3:17, Deut 4:49, Deut 11:30, Josh 8:14, Josh 11:2, Josh 11:16, Josh 12:1, Josh 12:3, Josh 12:8, Josh 18:18, 1 Sam 23:24, 2 Sam 2:29, 2 Sam 4:7, 2 Kgs 25:4, Jer 39:4, Jer 52:7, Ezek 47:8	
Arabia		>27.4	>37.7	2 Chr 9:14, Isa 21:13, Jer 25:24, Ezek 27:21, Ezek 30:5, Gal 1:17, Gal 4:25	region
Arad		31.28098170907087	35.12636584365214	Num 21:1, Num 33:40, Josh 12:14, Judg 1:16	
Aram		~34.85	~39.12	Num 23:7, 2 Sam 8:6, 2 Sam 15:8, 1 Chr 2:23, Hos 12:12	
Aram-maacah		~33.2	~36.5	1 Chr 19:6	
Aram-naharaim		~35.1	~42.0	Ps 60:1	
Aram-zobah	Damascus	~33.519299	~36.31344999999999	Ps 60:1	
Ararat		39.70289295384448	44.29818047261773	Gen 8:4, 2 Kgs 19:37, Isa 37:38, Jer 51:27	
Areopagus	Athens	<37.98333333333333	<23.73333333333333	Acts 17:19, Acts 17:22	
Argob		~33.144	~36.136	Deut 3:4, Deut 3:13, Deut 3:14, 1 Kgs 4:13	
Ariel	Jerusalem	31.777444	35.234935	Isa 29:1, Isa 29:2, Isa 29:7	
Arimathea	Mizpah 3	31.83273947023218	35.1801628605877	Matt 27:57, Mark 15:43, Luke 23:50, John 19:38	?
Armageddon	Megiddo	32.58418313614938	35.18229165870594	Rev 16:16	
Arnon		31.428800	35.677009	Num 21:13, Num 21:14, Num 21:24, Num 21:26, Num 21:28, Num 22:36, Judg 11:13, Judg 11:18, Judg 11:22, Judg 11:26, Isa 16:2, Jer 48:20	Now Wadi Mojib
Aroer 1		31.47109529828131	35.82200331579328	Deut 2:36, Deut 3:12, Deut 4:48, Josh 12:2, Josh 13:9, Josh 13:16, Judg 11:26, 2 Kgs 10:33, Jer 48:19	
Aroer 2		~31.9617	~35.9115	Num 32:34, Josh 13:25, Judg 11:33, 2 Sam 24:5, 1 Chr 5:8, Isa 17:2	Guess (near Rabbah)
Aroer 3		31.14893187321126	34.9848522498051	1 Sam 30:28	
Arpad	Hamath	~35.136204	~36.749488	2 Kgs 18:34, 2 Kgs 19:13, Isa 10:9, Isa 36:19, Isa 37:13, Jer 49:23	
Arubboth	Socoh 1	~31.68123465358001	~34.97639817516712	1 Kgs 4:10	
Arumah		32.154887	35.318192	Judg 9:41	
Arvad		34.856082	35.858485	Ezek 27:8, Ezek 27:11	
Ashan	Ashnah	~31.8099	~34.9365	Josh 15:42, Josh 19:7, 1 Chr 4:32, 1 Chr 6:59	
